RBD,COD_ENS,SITUACION_EGRESO,CODIGO_COMUNA,PRO_PUNTAJE
8761,310,1,13123,493
8925,310,1,13123,371
8926,310,1,13123,414
8927,310,1,13123,425
8928,363,1,13123,425
8930,310,1,13123,368
8938,310,1,13123,352
8944,310,1,13123,398
8945,410,1,13123,308
8950,310,1,13123,487
8954,310,1,13123,407
8956,310,1,13123,344
8966,310,1,13123,532
8974,310,1,13123,450
8981,310,1,13123,447
8984,310,1,13123,566
8988,310,1,13123,493
8992,310,1,13123,531
8996,310,1,13123,601
8997,310,1,13123,341
8998,310,1,13123,581
9003,310,1,13123,544
9271,310,1,13123,633
11871,310,1,13123,483
11993,310,1,13123,413
24896,363,1,13123,323
24985,310,1,13123,525
25054,363,1,13123,383
25402,310,1,13123,459
25541,310,1,13123,464
25666,310,1,13123,390
26030,363,1,13123,334
